Region,Station,Latitude,Longitude
Alexandra,Alexandra,-45.246,169.38956
Hokitika,Arthurs Pass,-42.94152,171.56285
Christchurch,Ashburton Council,-43.89658,171.7472
Dunedin,"Balclutha,Finegand",-46.273,169.739
Blenheim,Blenheim Aero,-41.52,173.872
Blenheim,Blenheim Aero Aws,-41.52133,173.86439
Christchurch,Christchurch Aero,-43.493,172.537
Christchurch,Christchurch Gardens,-43.531,172.619
Christchurch,Craigieburn Forest,-43.154,171.714
Dunedin,Dunedin Aero,-45.929,170.196
Queenstown,Ettrick No.2,-45.623,169.348
Blenheim,Grassmere Salt Works,-41.729,174.145
Hokitika,Hokitika Aero,-42.71228,170.98428
Invercargill,Invercargill Aero,-46.41741,168.33052
Lake Tekapo,"Lake Tekapo, Air Safaris",-44.002,170.441
Blenheim,Mana Island,-41.09429,174.78517
Manapouri,Manapouri Aero Aws,-45.53283,167.64166
Milford Sound,Milford Sound,-44.67384,167.92406
Nelson,Nelson Aero,-41.299,173.226
Timaru,Oamaru Airport,-44.976,171.083
Dunedin,Palmerston,-45.47554,170.71444
Blenheim,"Pelorus Sd, Crail Bay",-41.10308,173.96406
Queenstown,Queenstown,-45.03476,168.66364
Queenstown,Queenstown Aero,-45.024,168.735
Hokitika,Reefton Ews,-42.11578,171.86014
Blenheim,Stephens Island,-40.666,174.001
Invercargill,Stewart Is,-46.90051,168.12851
Timaru,Timaru Aero,-44.303,171.225
Invercargill,Tiwai Point Ews,-46.587,168.376
Blenheim,Wellington Aero,-41.322,174.804
Blenheim,"Wellington, Kelburn",-41.286,174.767
Westport,Westport Aero,-41.73954,171.57833
Queenstown,Winton 2,-46.157,168.328
Auckland,"Auckland,Owairaka",-36.893,174.726
Auckland,Paeroa Aws,-37.3706,175.6837
Auckland,Auckland Aero,-37.00813,174.78873
Auckland,"Auckland, Whenuapai Aero",-36.793,174.624
Auckland,Leigh 2 Ews,-36.27107,174.79903
Auckland,Thames 2,-37.15858,175.55137
Auckland,Hamilton Aero,-37.86672,175.32873
Auckland,Whangarei Aero,-35.76955,174.36028
Gisborne,Gisborne Aero,-38.661,177.986
Taupo,Rotorua Aero 2,-38.11065,176.31756
Taupo,Whakatane Aero,-37.92644,176.91807
Taupo,Taupo Aero,-38.74139,176.08251
Taupo,Tauranga Aero,-37.67242,176.19635
Napier,Kopua,-40.079,176.274
Napier,Napier Aero,-39.468,176.872
Napier,Hastings Aws,-39.648,176.841
Wellington,Paraparaumu Aero,-40.907,174.984
Wellington,Ngawi Aws,-41.589,175.233
